nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt_	shrsOrPrnAmt_	investmentDiscretion	votingAuthority_Sole	votingAuthority_Shared	votingAuthority_None
ALIGN TECHNOLOGY INC 	COM	016255101	20898	73500	SH	DFND	73500	0	0
ALIGN TECHNOLOGY INC 	COM	016255101	1308	4600	SH	DFND	4600	0	0
ALKERMES PLC 	SHS	G01767105	675	18509	SH	DFND	18509	0	0
ALKERMES PLC 	SHS	G01767105	3952	108300	SH	DFND	108300	0	0
ALLEGHENY TECHNOLOGIES INC 	COM	01741R102	5498	215000	SH	DFND	215000	0	0
ALLEGHENY TECHNOLOGIES INC 	COM	01741R102	1391	54400	SH	DFND	54400	0	0
ALLEGIANT TRAVEL CO 	COM	01748X102	1768	13653	SH	DFND	13653	0	0
ALLEGIANT TRAVEL CO 	COM	01748X102	39	300	SH	DFND	300	0	0
ALLEGIANT TRAVEL CO 	COM	01748X102	7574	58500	SH	DFND	58500	0	0
ALLEGION PUB LTD CO 	ORD SHS	G0176J109	481	5300	SH	DFND	5300	0	0
ALLERGAN PLC 	SHS	G0177J108	14685	100300	SH	DFND	100300	0	0
ALLIANCE DATA SYSTEMS CORP 	COM	018581108	4622	26417	SH	DFND	26417	0	0
ALLIANCEBERNSTEIN HOLDING LP 	UNIT LTD PARTN	01881G106	222	7700	SH	DFND	7700	0	0
ALLIANT ENERGY CORP	COM	018802108	297	6300	SH	DFND	6300	0	0
ALLIANT ENERGY CORP	COM	018802108	339	7200	SH	DFND	7200	0	0
ALLISON TRANSMISSION HLDGS I 	COM	01973R101	636	14159	SH	DFND	14159	0	0
ALLISON TRANSMISSION HLDGS I 	COM	01973R101	566	12600	SH	DFND	12600	0	0
ALLISON TRANSMISSION HLDGS I 	COM	01973R101	1132	25200	SH	DFND	25200	0	0
ALLOT LTD	COM	M0854Q105	1212	152701	SH	DFND	152701	0	0
ALLSTATE CORP 	COM	020002101	7676	81500	SH	DFND	81500	0	0
ALLSTATE CORP 	COM	020002101	2053	21800	SH	DFND	21800	0	0
ALLY FINL INC	COM	02005N100	23296	847435	SH	DFND	847435	0	0
ALLY FINL INC	COM	02005N100	6394	232600	SH	DFND	232600	0	0
ALLY FINL INC	COM	02005N100	5638	205100	SH	DFND	205100	0	0
ALNYLAM PHARMACEUTICALS INC 	COM	02043Q107	2112	22600	SH	DFND	22600	0	0
ALPHABET INC	STK CL C	02079K107	12906	11000	SH	DFND	11000	0	0
ALPHABET INC	STK CL C	02079K107	10442	8900	SH	DFND	8900	0	0
ALPHABET INC	STK CL A	02079K305	2215	1882	SH	DFND	1882	0	0
ALPHABET INC	STK CL A	02079K305	89444	76000	SH	DFND	76000	0	0
ALPHABET INC	STK CL A	02079K305	30481	25900	SH	DFND	25900	0	0
ALTABA INC 	COM	021346101	44020	593900	SH	DFND	593900	0	0
ALTABA INC 	COM	021346101	22	300	SH	DFND	300	0	0
ALTAIR ENGR INC 	COM CL A	021369103	335	9100	SH	DFND	9100	0	0
ALTERYX INC 	COM CL A	02156B103	2709	32300	SH	DFND	32300	0	0
ALTERYX INC 	COM CL A	02156B103	42	500	SH	DFND	500	0	0
ALTICE USA INC 	CL A	02156K103	1540	71700	SH	DFND	71700	0	0
ALTICE USA INC 	CL A	02156K103	303	14100	SH	DFND	14100	0	0
ALTRA INDL MOTION CORP	COM	02208R106	248	7983	SH	DFND	7983	0	0
ALTRA INDL MOTION CORP	COM	02208R106	1307	42100	SH	DFND	42100	0	0
ALTRIA GROUP INC 	COM	02209S103	1700	29596	SH	DFND	29596	0	0
ALTRIA GROUP INC 	COM	02209S103	4353	75800	SH	DFND	75800	0	0
ALUMINUM CORP CHINA LTD 	SPON ADR H SHS	022276109	62	6720	SH	DFND	6720	0	0
ALUMINUM CORP CHINA LTD 	SPON ADR H SHS	022276109	282	30400	SH	DFND	30400	0	0
AMAZON COM INC 	COM	023135106	39406	22129	SH	DFND	22129	0	0
AMAZON COM INC 	COM	023135106	96161	54000	SH	DFND	54000	0	0
AMAZON COM INC 	COM	023135106	416339	233800	SH	DFND	233800	0	0
AMBARELLA INC 	SHS	G037AX101	1852	42866	SH	DFND	42866	0	0
AMBARELLA INC 	SHS	G037AX101	2121	49100	SH	DFND	49100	0	0
AMBARELLA INC 	SHS	G037AX101	3046	70500	SH	DFND	70500	0	0
